Subject	Country_Name	Country_Id	Sample	Skill_trans	East	Coordinat	Education	Occu_Stat
19346	Sweden	13	1781	-1.64	0	1	1	17.572359
19347	Sweden	13	1781	-1.64	0	1	1	29.569246
19348	Sweden	13	1781	-1.64	0	1	1	13.378704
19349	Sweden	13	1781	-1.64	0	1	1	14.600089
19350	Sweden	13	1781	-1.64	0	1	1	4.531697
19351	Sweden	13	1781	-1.64	0	1	1	41.187122
19352	Sweden	13	1781	-1.64	0	1	1	15.26755
19353	Sweden	13	1781	-1.64	0	1	1	40.086123
19354	Sweden	13	1781	-1.64	0	1	1	54.591719
19355	Sweden	13	1781	-1.64	0	1	1	34.066977
19356	Sweden	13	1781	-1.64	0	1	1	8.889869
19357	Sweden	13	1781	-1.64	0	1	1	46.540058
19358	Sweden	13	1781	-1.64	0	1	1	34.206899
19359	Sweden	13	1781	-1.64	0	1	1	29.019603
19360	Sweden	13	1781	-1.64	0	1	1	14.798153
19361	Sweden	13	1781	-1.64	0	1	1	17.301452
19362	Sweden	13	1781	-1.64	0	1	1	48.08075
19363	Sweden	13	1781	-1.64	0	1	1	53.120763
19364	Sweden	13	1781	-1.64	0	1	1	33.819135
19365	Sweden	13	1781	-1.64	0	1	1	72.443579
19366	Sweden	13	1781	-1.64	0	1	1	36.429568
19367	Sweden	13	1781	-1.64	0	1	1	59.496274
19368	Sweden	13	1781	-1.64	0	1	1	29.2621
19369	Sweden	13	1781	-1.64	0	1	1	54.089931
19370	Sweden	13	1781	-1.64	0	1	1	35.663256
19371	Sweden	13	1781	-1.64	0	1	1	34.133031
19372	Sweden	13	1781	-1.64	0	1	1	55.993057
19373	Sweden	13	1781	-1.64	0	1	1	42.043524
19374	Sweden	13	1781	-1.64	0	1	1	-0.409464
19375	Sweden	13	1781	-1.64	0	1	1	25.276549
19376	Sweden	13	1781	-1.64	0	1	1	17.49413
19377	Sweden	13	1781	-1.64	0	1	1	26.335334
19378	Sweden	13	1781	-1.64	0	1	1	16.838107
19379	Sweden	13	1781	-1.64	0	1	1	41.296736
19380	Sweden	13	1781	-1.64	0	1	1	60.454646
19381	Sweden	13	1781	-1.64	0	1	1	49.347342
19382	Sweden	13	1781	-1.64	0	1	1	26.463047
19383	Sweden	13	1781	-1.64	0	1	1	41.851561
19384	Sweden	13	1781	-1.64	0	1	1	25.998435
19385	Sweden	13	1781	-1.64	0	1	1	-3.913411
19386	Sweden	13	1781	-1.64	0	1	1	17.561238
19387	Sweden	13	1781	-1.64	0	1	1	9.96615
19388	Sweden	13	1781	-1.64	0	1	1	37.69756
19389	Sweden	13	1781	-1.64	0	1	1	35.381634
19390	Sweden	13	1781	-1.64	0	1	1	22.976487
19391	Sweden	13	1781	-1.64	0	1	1	22.185548
19392	Sweden	13	1781	-1.64	0	1	1	46.973559
19393	Sweden	13	1781	-1.64	0	1	1	30.332939
19394	Sweden	13	1781	-1.64	0	1	1	25.530629
19395	Sweden	13	1781	-1.64	0	1	1	6.27193
19396	Sweden	13	1781	-1.64	0	1	1	33.240836
19397	Sweden	13	1781	-1.64	0	1	1	27.727003
19398	Sweden	13	1781	-1.64	0	1	1	71.796133
19399	Sweden	13	1781	-1.64	0	1	1	28.222011
19400	Sweden	13	1781	-1.64	0	1	1	40.773505
19401	Sweden	13	1781	-1.64	0	1	1	46.419329
19402	Sweden	13	1781	-1.64	0	1	1	49.643299
19403	Sweden	13	1781	-1.64	0	1	1	58.24819
19404	Sweden	13	1781	-1.64	0	1	1	24.54781
19405	Sweden	13	1781	-1.64	0	1	1	46.159419
19406	Sweden	13	1781	-1.64	0	1	1	34.491218
19407	Sweden	13	1781	-1.64	0	1	1	27.164294
19408	Sweden	13	1781	-1.64	0	1	1	42.806717
19409	Sweden	13	1781	-1.64	0	1	1	67.363306
19410	Sweden	13	1781	-1.64	0	1	1	26.917041
19411	Sweden	13	1781	-1.64	0	1	1	22.28545
19412	Sweden	13	1781	-1.64	0	1	1	40.352521
19413	Sweden	13	1781	-1.64	0	1	1	32.322051
19414	Sweden	13	1781	-1.64	0	1	1	80.583296
19415	Sweden	13	1781	-1.64	0	1	1	2.347091
19416	Sweden	13	1781	-1.64	0	1	1	18.999163
19417	Sweden	13	1781	-1.64	0	1	1	12.559083
19418	Sweden	13	1781	-1.64	0	1	1	50.118014
19419	Sweden	13	1781	-1.64	0	1	1	14.888937
19420	Sweden	13	1781	-1.64	0	1	1	28.238721
19421	Sweden	13	1781	-1.64	0	1	1	14.503895
19422	Sweden	13	1781	-1.64	0	1	1	23.359641
19423	Sweden	13	1781	-1.64	0	1	1	58.258801
19424	Sweden	13	1781	-1.64	0	1	1	11.729232
19425	Sweden	13	1781	-1.64	0	1	1	54.819618
19426	Sweden	13	1781	-1.64	0	1	1	27.682357
19427	Sweden	13	1781	-1.64	0	1	1	53.407935
19428	Sweden	13	1781	-1.64	0	1	1	57.825755
19429	Sweden	13	1781	-1.64	0	1	1	47.637202
19430	Sweden	13	1781	-1.64	0	1	1	32.078962
19431	Sweden	13	1781	-1.64	0	1	1	33.599231
19432	Sweden	13	1781	-1.64	0	1	1	33.908953
19433	Sweden	13	1781	-1.64	0	1	1	49.155991
19434	Sweden	13	1781	-1.64	0	1	1	45.428958
19435	Sweden	13	1781	-1.64	0	1	1	3.971515
19436	Sweden	13	1781	-1.64	0	1	1	21.563559
19437	Sweden	13	1781	-1.64	0	1	1	-7.705601
19438	Sweden	13	1781	-1.64	0	1	1	28.340651
19439	Sweden	13	1781	-1.64	0	1	1	66.152755
19440	Sweden	13	1781	-1.64	0	1	1	64.004264
19441	Sweden	13	1781	-1.64	0	1	1	30.816033
19442	Sweden	13	1781	-1.64	0	1	1	29.190361
19443	Sweden	13	1781	-1.64	0	1	1	32.837727
19444	Sweden	13	1781	-1.64	0	1	1	46.237635
19445	Sweden	13	1781	-1.64	0	1	1	34.327223
19446	Sweden	13	1781	-1.64	0	1	1	44.403989
19447	Sweden	13	1781	-1.64	0	1	1	25.754781
19448	Sweden	13	1781	-1.64	0	1	1	33.869929
19449	Sweden	13	1781	-1.64	0	1	1	8.137556
19450	Sweden	13	1781	-1.64	0	1	1	42.990942
19451	Sweden	13	1781	-1.64	0	1	1	83.576665
19452	Sweden	13	1781	-1.64	0	1	1	29.512043
19453	Sweden	13	1781	-1.64	0	1	1	28.123489
19454	Sweden	13	1781	-1.64	0	1	1	74.362947
19455	Sweden	13	1781	-1.64	0	1	1	22.600555
19456	Sweden	13	1781	-1.64	0	1	1	36.465799
19457	Sweden	13	1781	-1.64	0	1	1	38.569312
19458	Sweden	13	1781	-1.64	0	1	1	28.701632
19459	Sweden	13	1781	-1.64	0	1	1	40.35328
19460	Sweden	13	1781	-1.64	0	1	1	31.515059
19461	Sweden	13	1781	-1.64	0	1	1	36.498306
19462	Sweden	13	1781	-1.64	0	1	1	11.924106
19463	Sweden	13	1781	-1.64	0	1	1	42.58001
19464	Sweden	13	1781	-1.64	0	1	1	31.248825
19465	Sweden	13	1781	-1.64	0	1	1	25.415983
19466	Sweden	13	1781	-1.64	0	1	1	29.762576
19467	Sweden	13	1781	-1.64	0	1	1	50.35122
19468	Sweden	13	1781	-1.64	0	1	1	24.003322
19469	Sweden	13	1781	-1.64	0	1	1	35.449402
19470	Sweden	13	1781	-1.64	0	1	1	66.622993
19471	Sweden	13	1781	-1.64	0	1	1	34.175731
19472	Sweden	13	1781	-1.64	0	1	1	33.942318
19473	Sweden	13	1781	-1.64	0	1	1	59.009127
19474	Sweden	13	1781	-1.64	0	1	1	22.364254
19475	Sweden	13	1781	-1.64	0	1	1	86.588104
19476	Sweden	13	1781	-1.64	0	1	1	42.504061
19477	Sweden	13	1781	-1.64	0	1	1	-3.398052
19478	Sweden	13	1781	-1.64	0	1	1	67.569921
19479	Sweden	13	1781	-1.64	0	1	1	25.829907
19480	Sweden	13	1781	-1.64	0	1	1	47.854349
19481	Sweden	13	1781	-1.64	0	1	1	30.540392
19482	Sweden	13	1781	-1.64	0	1	1	66.042958
19483	Sweden	13	1781	-1.64	0	1	1	47.76581
19484	Sweden	13	1781	-1.64	0	1	1	-1.602809
19485	Sweden	13	1781	-1.64	0	1	1	78.785099
19486	Sweden	13	1781	-1.64	0	1	1	12.159368
19487	Sweden	13	1781	-1.64	0	1	1	40.219276
19488	Sweden	13	1781	-1.64	0	1	1	51.38727
19489	Sweden	13	1781	-1.64	0	1	1	22.223907
19490	Sweden	13	1781	-1.64	0	1	1	13.632512
19491	Sweden	13	1781	-1.64	0	1	1	45.026412
19492	Sweden	13	1781	-1.64	0	1	1	63.396861
19493	Sweden	13	1781	-1.64	0	1	1	2.760965
19494	Sweden	13	1781	-1.64	0	1	1	11.724625
19495	Sweden	13	1781	-1.64	0	1	1	40.939743
19496	Sweden	13	1781	-1.64	0	1	1	42.326531
19497	Sweden	13	1781	-1.64	0	1	1	24.227082
19498	Sweden	13	1781	-1.64	0	1	1	67.140981
19499	Sweden	13	1781	-1.64	0	1	1	66.810458
19500	Sweden	13	1781	-1.64	0	1	1	34.459845
19501	Sweden	13	1781	-1.64	0	1	1	36.368385
19502	Sweden	13	1781	-1.64	0	1	1	49.920973
19503	Sweden	13	1781	-1.64	0	1	1	19.437656
19504	Sweden	13	1781	-1.64	0	1	1	49.111398
19505	Sweden	13	1781	-1.64	0	1	1	30.811772
19506	Sweden	13	1781	-1.64	0	1	1	38.493177
19507	Sweden	13	1781	-1.64	0	1	1	18.725302
19508	Sweden	13	1781	-1.64	0	1	1	39.691321
19509	Sweden	13	1781	-1.64	0	1	1	58.041734
19510	Sweden	13	1781	-1.64	0	1	1	40.99218
19511	Sweden	13	1781	-1.64	0	1	1	60.964027
19512	Sweden	13	1781	-1.64	0	1	1	36.416088
19513	Sweden	13	1781	-1.64	0	1	1	10.062314
19514	Sweden	13	1781	-1.64	0	1	1	16.486001
19515	Sweden	13	1781	-1.64	0	1	1	27.078474
19516	Sweden	13	1781	-1.64	0	1	1	37.64342
19517	Sweden	13	1781	-1.64	0	1	1	26.109724
19518	Sweden	13	1781	-1.64	0	1	1	66.251824
19519	Sweden	13	1781	-1.64	0	1	1	29.12795
19520	Sweden	13	1781	-1.64	0	1	1	52.274587
19521	Sweden	13	1781	-1.64	0	1	1	31.023605
19522	Sweden	13	1781	-1.64	0	1	1	66.247164
19523	Sweden	13	1781	-1.64	0	1	1	26.976621
19524	Sweden	13	1781	-1.64	0	1	1	13.472475
19525	Sweden	13	1781	-1.64	0	1	1	36.092529
19526	Sweden	13	1781	-1.64	0	1	1	50.057876
19527	Sweden	13	1781	-1.64	0	1	1	35.877059
19528	Sweden	13	1781	-1.64	0	1	1	45.52648
19529	Sweden	13	1781	-1.64	0	1	1	37.111085
19530	Sweden	13	1781	-1.64	0	1	1	29.125221
19531	Sweden	13	1781	-1.64	0	1	1	22.986891
19532	Sweden	13	1781	-1.64	0	1	1	64.848587
19533	Sweden	13	1781	-1.64	0	1	1	11.951691
19534	Sweden	13	1781	-1.64	0	1	1	2.961662
19535	Sweden	13	1781	-1.64	0	1	1	37.956852
19536	Sweden	13	1781	-1.64	0	1	1	53.028493
19537	Sweden	13	1781	-1.64	0	1	1	29.582871
19538	Sweden	13	1781	-1.64	0	1	1	44.119772
19539	Sweden	13	1781	-1.64	0	1	1	44.089704
19540	Sweden	13	1781	-1.64	0	1	1	-2.573991
19541	Sweden	13	1781	-1.64	0	1	1	81.176959
19542	Sweden	13	1781	-1.64	0	1	1	31.1324
19543	Sweden	13	1781	-1.64	0	1	1	68.294059
19544	Sweden	13	1781	-1.64	0	1	1	55.842244
19545	Sweden	13	1781	-1.64	0	1	1	21.110489
19546	Sweden	13	1781	-1.64	0	1	1	60.960787
19547	Sweden	13	1781	-1.64	0	1	1	40.31904
19548	Sweden	13	1781	-1.64	0	1	1	45.022411
19549	Sweden	13	1781	-1.64	0	1	1	58.435018
19550	Sweden	13	1781	-1.64	0	1	1	64.94906
19551	Sweden	13	1781	-1.64	0	1	1	44.339079
19552	Sweden	13	1781	-1.64	0	1	1	19.784157
19553	Sweden	13	1781	-1.64	0	1	1	17.917173
19554	Sweden	13	1781	-1.64	0	1	1	48.223165
19555	Sweden	13	1781	-1.64	0	1	1	57.917692
19556	Sweden	13	1781	-1.64	0	1	1	59.356372
19557	Sweden	13	1781	-1.64	0	1	1	66.132882
19558	Sweden	13	1781	-1.64	0	1	1	24.647029
19559	Sweden	13	1781	-1.64	0	1	1	42.606717
19560	Sweden	13	1781	-1.64	0	1	1	36.369197
19561	Sweden	13	1781	-1.64	0	1	1	62.235944
19562	Sweden	13	1781	-1.64	0	1	1	43.348038
19563	Sweden	13	1781	-1.64	0	1	1	44.851227
19564	Sweden	13	1781	-1.64	0	1	1	52.940385
19565	Sweden	13	1781	-1.64	0	1	1	-9.347002
19566	Sweden	13	1781	-1.64	0	1	1	57.711792
19567	Sweden	13	1781	-1.64	0	1	1	47.8867
19568	Sweden	13	1781	-1.64	0	1	1	29.164995
19569	Sweden	13	1781	-1.64	0	1	1	9.246587
19570	Sweden	13	1781	-1.64	0	1	1	48.992309
19571	Sweden	13	1781	-1.64	0	1	1	42.192485
19572	Sweden	13	1781	-1.64	0	1	1	-4.671056
19573	Sweden	13	1781	-1.64	0	1	1	44.68727
19574	Sweden	13	1781	-1.64	0	1	1	38.715716
19575	Sweden	13	1781	-1.64	0	1	1	33.69388
19576	Sweden	13	1781	-1.64	0	1	1	77.447959
19577	Sweden	13	1781	-1.64	0	1	1	24.461529
19578	Sweden	13	1781	-1.64	0	1	1	52.439292
19579	Sweden	13	1781	-1.64	0	1	1	19.767739
19580	Sweden	13	1781	-1.64	0	1	1	14.888417
19581	Sweden	13	1781	-1.64	0	1	1	-14.156428
19582	Sweden	13	1781	-1.64	0	1	1	46.219052
19583	Sweden	13	1781	-1.64	0	1	1	45.972979
19584	Sweden	13	1781	-1.64	0	1	1	12.365071
19585	Sweden	13	1781	-1.64	0	1	1	10.554966
19586	Sweden	13	1781	-1.64	0	1	1	11.12281
19587	Sweden	13	1781	-1.64	0	1	1	30.210782
19588	Sweden	13	1781	-1.64	0	1	1	60.496658
19589	Sweden	13	1781	-1.64	0	1	1	-0.037046
19590	Sweden	13	1781	-1.64	0	1	1	56.774079
19591	Sweden	13	1781	-1.64	0	1	1	63.994471
19592	Sweden	13	1781	-1.64	0	1	1	9.600976
19593	Sweden	13	1781	-1.64	0	1	1	42.034994
19594	Sweden	13	1781	-1.64	0	1	1	-6.346943
19595	Sweden	13	1781	-1.64	0	1	1	17.429578
19596	Sweden	13	1781	-1.64	0	1	1	45.065647
19597	Sweden	13	1781	-1.64	0	1	1	30.520495
19598	Sweden	13	1781	-1.64	0	1	1	34.062151
19599	Sweden	13	1781	-1.64	0	1	1	-30.385421
19600	Sweden	13	1781	-1.64	0	1	1	26.383232
19601	Sweden	13	1781	-1.64	0	1	1	47.233028
19602	Sweden	13	1781	-1.64	0	1	1	-3.954421
19603	Sweden	13	1781	-1.64	0	1	1	2.597954
19604	Sweden	13	1781	-1.64	0	1	1	36.833395
19605	Sweden	13	1781	-1.64	0	1	1	35.12628
19606	Sweden	13	1781	-1.64	0	1	1	54.527789
19607	Sweden	13	1781	-1.64	0	1	1	33.189408
19608	Sweden	13	1781	-1.64	0	1	1	82.820658
19609	Sweden	13	1781	-1.64	0	1	1	11.876659
19610	Sweden	13	1781	-1.64	0	1	1	3.693069
19611	Sweden	13	1781	-1.64	0	1	1	51.759788
19612	Sweden	13	1781	-1.64	0	1	1	18.264193
19613	Sweden	13	1781	-1.64	0	1	1	61.382844
19614	Sweden	13	1781	-1.64	0	1	1	46.854485
19615	Sweden	13	1781	-1.64	0	1	1	31.807713
19616	Sweden	13	1781	-1.64	0	1	1	50.357424
19617	Sweden	13	1781	-1.64	0	1	1	9.151691
19618	Sweden	13	1781	-1.64	0	1	1	16.996233
19619	Sweden	13	1781	-1.64	0	1	1	34.711813
19620	Sweden	13	1781	-1.64	0	1	1	74.133762
19621	Sweden	13	1781	-1.64	0	1	1	33.959076
19622	Sweden	13	1781	-1.64	0	1	1	17.280868
19623	Sweden	13	1781	-1.64	0	1	1	30.156957
19624	Sweden	13	1781	-1.64	0	1	1	30.111566
19625	Sweden	13	1781	-1.64	0	1	1	42.588336
19626	Sweden	13	1781	-1.64	0	1	1	39.657306
19627	Sweden	13	1781	-1.64	0	1	1	39.02462
19628	Sweden	13	1781	-1.64	0	1	1	52.569084
19629	Sweden	13	1781	-1.64	0	1	1	46.839407
19630	Sweden	13	1781	-1.64	0	1	1	52.185543
19631	Sweden	13	1781	-1.64	0	1	1	40.525386
19632	Sweden	13	1781	-1.64	0	1	1	85.019328
19633	Sweden	13	1781	-1.64	0	1	1	24.426218
19634	Sweden	13	1781	-1.64	0	1	1	12.976546
19635	Sweden	13	1781	-1.64	0	1	1	46.127838
19636	Sweden	13	1781	-1.64	0	1	1	4.955694
19637	Sweden	13	1781	-1.64	0	1	1	17.657658
