idnum	intelligens	utbildning	SEB	USEP25	USEP30	USEP35	USEP40
1	25.423162	5.50536	13.732969	8.270898	8.574376	9.874388	6.631898
2	20.807877	4.510431	12.659567	3.107457	9.535736	13.523933	12.950746
3	28.809239	15.666	12.347761	8.951866	4.254528	11.601	12.655365
4	-0.66721	1.916253	0.223057	-6.070353	-3.602859	-3.314952	1.312734
5	17.264935	13.530728	12.059872	5.221525	4.514241	7.533834	10.71448
6	11.979927	11.2197	7.169781	2.035306	4.382462	4.942606	9.741398
7	26.733687	10.925265	13.128842	9.255809	12.456004	11.404594	12.369208
8	17.855762	6.741772	11.325756	10.256999	8.09532	5.090858	5.858084
9	10.267028	4.586934	7.197838	-2.418031	3.338579	6.298697	2.525628
10	12.073392	10.669371	8.234739	8.249661	6.790437	9.595397	7.971345
11	9.725414	-2.248512	6.410689	6.107641	4.882398	6.099982	2.833498
12	7.647185	3.286353	9.375309	0.895566	3.42103	4.623593	6.730351
13	16.960411	10.70622	13.714838	9.880484	12.104435	10.00203	13.67425
14	5.764093	3.431594	10.588849	4.075695	5.444612	8.480151	13.939811
15	14.519938	7.191352	6.144496	7.474388	3.081029	7.387873	5.70226
16	15.844555	7.793148	9.156865	5.550753	6.271641	6.072601	7.034383
17	22.812454	9.004849	6.373469	8.376773	5.274108	5.138574	1.359207
18	20.298855	5.808217	13.78	2.699226	9.520728	13.796931	9.963397
19	14.647851	5.968284	10.329196	10.20616	8.334363	7.247288	8.727006
20	11.188358	7.79278	18.628051	10.344187	7.907088	10.696844	9.800365
21	25.15613	12.18486	13.9909	6.399428	9.788383	7.055254	10.741504
22	29.144182	19.960037	24.706392	19.434424	16.685533	19.062962	16.635191
23	11.087664	6.050356	10.231877	4.918389	8.130342	7.948263	7.50267
24	23.911321	6.93786	16.918477	9.280089	14.010245	13.400089	13.880278
25	15.422387	5.332831	13.518421	3.946051	8.192743	8.999185	7.939797
26	21.931614	3.178457	13.278624	4.105767	5.991571	6.147851	5.546778
27	21.512496	5.951636	17.862365	6.82565	9.082763	11.373568	10.033337
28	16.51686	7.714253	14.311286	6.874962	6.386001	11.260422	9.072122
29	14.922167	9.281575	13.070554	5.788912	11.257236	13.351714	11.52019
30	10.574143	10.076019	11.736801	6.749277	6.038079	7.055257	8.354451
31	13.933643	8.541652	17.984419	7.321631	15.362975	11.596884	12.768631
32	16.921528	10.710266	3.481788	7.477503	6.935506	3.044723	4.785204
33	29.953611	18.132152	19.599965	12.05716	15.651311	14.231227	13.579541
34	13.85479	8.586372	10.445239	9.916183	9.430652	6.312069	5.384355
35	23.962671	10.061736	10.471962	10.372152	13.144901	13.67356	13.964867
36	8.931249	3.146383	-1.499112	6.065672	1.11041	-3.426534	-1.716627
37	22.517788	3.510558	17.473184	8.683935	6.093651	7.014849	6.61924
38	18.220882	4.367935	13.719609	8.507879	8.847952	9.347201	12.227546
39	4.841358	9.271459	7.786776	-0.438681	-1.000558	2.961454	8.380275
40	22.235474	3.214594	9.050712	11.991477	8.849891	7.954003	6.427743
41	16.16034	7.535418	17.28392	6.971149	10.036988	12.674053	11.494572
42	12.895228	3.659856	8.823463	14.016133	9.388424	8.069962	7.405349
43	9.874641	8.014352	5.247497	6.931787	2.243099	1.657499	0.769142
44	21.07045	4.652052	11.255777	3.896634	10.625512	8.8367	9.591037
45	7.516753	0.310894	5.598104	2.167906	3.10804	-1.504001	1.372064
46	12.758346	10.063456	9.649674	5.874767	2.286326	7.29773	6.372735
47	16.117359	7.080863	13.329681	9.714514	11.846238	13.513487	10.633363
48	27.4862	6.703289	17.972254	7.340044	11.205483	16.738112	13.282655
49	23.785413	11.838546	13.430399	3.267078	8.822989	8.306389	10.973686
50	20.438064	7.850152	11.223543	3.797471	11.07463	11.871087	14.344715
51	2.234591	3.726073	8.322396	7.750001	8.332301	7.35882	4.355643
52	11.271767	6.394466	11.583616	12.802738	10.004161	6.346362	4.832409
53	14.149545	4.760602	10.193398	7.693497	14.814562	10.981399	12.734005
54	19.133882	7.718717	8.390874	6.799537	8.449898	12.884452	13.344622
